To Leslie,2022,Drama,R,119 ,7.1
Werewolf by Night,2022,"Action, Adventure, Drama",TV-14,52 ,7.1
Broker,2022,"Comedy, Crime, Drama",R,129 ,7.1
Manticore,2022,Drama,N/A,115 ,7.1
Tori and Lokita,2022,Drama,N/A,88 ,7.1
My Year of Dicks,2022,"Animation, Short, Comedy",16+,24 ,7.1
Pearl,2022,"Drama, Horror, Thriller",R,103 ,7
Barbarian,2022,"Horror, Mystery, Thriller",R,102 ,7
The Northman,2022,"Action, Adventure, Drama",R,137 ,7
The Unbearable Weight of Massive Talent,2022,"Action, Comedy, Crime",R,107 ,7
Turning Red,2022,"Animation, Adventure, Comedy",PG,100 ,7
Roald Dahl's Matilda the Musical,2022,"Comedy, Drama, Family",PG,117 ,7
Return to Seoul,2022,Drama,R,119 ,7
The Sea Beast,2022,"Animation, Adventure, Comedy",PG,115 ,7
The Innocents,2021,"Drama, Fantasy, Horror",Not Rated,117 ,7
The Roundup,2022,"Action, Crime, Thriller",N/A,106 ,7
Blue Jean,2022,"Drama, History",N/A,97 ,7
One Fine Morning,2022,"Drama, Romance",R,112 ,7
The Night of the 12th,2022,"Crime, Drama, Mystery",N/A,115 ,7
Pinball: The Man Who Saved the Game,2022,"Biography, Comedy, Drama",N/A,95 ,7
Aspirants,2021,Drama,N/A,443 ,9.2
Arcane,2021,"Animation, Action, Adventure",TV-14,41 ,9
The Beatles: Get Back,2021,"Documentary, Biography, Music",PG-13,468 ,9
1883,20212022,"Drama, Western",TV-MA,562 ,8.7
Jai Bhim,2021,"Crime, Drama, Mystery",TV-MA,164 ,8.7
Come from Away,2021,"Comedy, Drama, Musical",TV-14,106 ,8.5
Mare of Easttown,2021,"Crime, Drama, Mystery",TV-MA,418 ,8.4
"Love, Death & Robots",2019,"Animation, Short, Action",TV-MA,15 ,8.4
Vincenzo,2021,"Action, Comedy, Crime",Not Rated,80 ,8.4
Maid,2021,Drama,TV-MA,545 ,8.3
Shershaah,2021,"Action, Biography, Drama",TV-14,135 ,8.3
Tabbar,2021,"Drama, Thriller",N/A,N/A,8.3
Loki,20212023,"Action, Adventure, Fantasy",TV-14,586 ,8.2
Spider-Man: No Way Home,2021,"Action, Adventure, Fantasy",PG-13,148 ,8.2
Time,2021,"Crime, Drama",TV-14,59 ,8.2
Resident Alien,2021,"Comedy, Drama, Mystery",TV-14,44 ,8.1
Seaspiracy,2021,"Documentary, Adventure",TV-14,89 ,8.1
Dune,2021,"Action, Adventure, Drama",PG-13,155 ,8
